team,handle,name,desc,use
SF,caminman.bsky.social,Cam Inman,"🏈 49ers NFL reporter 📰 Bay Area News Group 📺 CBS-5 Red & Gold Report 📕 Author of The Franchise: SF 49ers 👨‍🎓 Cal Poly San Luis Obispo Hobbies: Bogey golf, runne",1
SF,49erscap.bsky.social,"Jason Hurley/2025 SF=$38,480,453 MIN=$18,059,572",NFL Salary Cap Guru Covering the 49ers cap I own https://49erscap.com & Vikingscap.com #SanFrancisco49ers #MinnesotaVikings (for my late Dad) #NYRangers #Housto,1
TEN,slack2thefuture.bsky.social,David Slack,"TV Writer - Person of Interest, Law & Order, Teen Titans, Jackie Chan Adventures, etc. Proud WGA Member. Pro-Democracy. Anti-Evil.",1
WAS,dwharrison.bsky.social,David Harrison,Proud Husband for 21 Years | Retired Army | Host/Producer of Locked On Commanders | Beat Reporter for CommanderGameday On SI | Contributor to WUSA9 | Cronkite K,1
WAS,johnhollinger.bsky.social,John Hollinger,The Athletic NBA columnist PER creator  - Former Grizzlies VP Basketball Ops - Former ESPN Wahoowa - Commanders - Brewers - Timbers - huh? Atlanta/a hotel,0
WAS,tashanreed.bsky.social,Tashan Reed,Commanders reporter at The Washington Post. Host of The Tashan Reed Show. Award-winning journalist. Mizzou and SJI alum. STL. Email: tashanreed1996@gmail.com,1
WAS,benstandig.bsky.social,Ben Standig,"Commanders/NFL reporter | ""Last Man Standig"" Substack and podcast | @team980 | Prior - The Athletic | Armed with hoops opinions | Rockin' & Rollin' & whatnot",1
WAS,chadwiko.bsky.social,Chad Ryan,"Covering the Washington Commanders from 10,000 miles away. The most 'outside' insider. As seen on ABC7, NBC4, ESPN, and multiple Australian gameshows. OG Verifi",1
WAS,byliamgriffin.bsky.social,Liam Griffin,Sports reporter covering the Commanders (and lots of other stuff) with The Washington Times.,1
WAS,lakelewisjr.bsky.social,Lake Lewis Jr,"NFL & Washington Commanders Insider • TV Analyst • The Lake Lewis Jr. Show on YouTube, Apple, Spotify, iHeartRadio • Founder SportsJourney.com #PennState #Georg",1
JAX,travisdholmes.bsky.social,Travis D Holmes,✍️ BigCatCountry.com Jags Beat Writer 🎥 The Duval Dive Jaguars podcast co-host 🎤 Bleav Podcast Network mediacaster 🎤 Den Media Group mediacaster 🏈 Former UCF CB,1
SEA,johnpboyle.bsky.social,John Boyle,Senior reporter for the Seattle Seahawks. Opinions & bad jokes are my own and don't necessarily reflect the beliefs or sense of humor of the Seahawks.,1
SEA,mookiealexander.bsky.social,Mookie Alexander,"Field Gulls Managing Editor, covering the NFL's Seattle Seahawks. Occasional Track and Field columnist for SB Nation. I watch a lot of sports.",1
SEA,seahawknerd.bsky.social,Seahawk Nerd,Professional data analyst bringing mathematical thinking to all things Seattle Seahawks and the NFL. seahawknerd.substack.com,1
